Query Number,Hit Percentage,File Access Time,Rand Num Gen Time,Other Time,Sampling Time,Bootstrap Time
1,100.0,15.02,15.72,69.32,4.97,15.72
2,90.0,15.09,15.72,64.36,4.71,15.72
3,100.0,15.01,15.65,64.29,4.63,15.65
4,100.0,15.1,15.67,78.38,5.86,15.67
5,90.0,15.03,15.67,83.53,6.52,15.67
6,100.0,15.06,15.61,74.08,5.57,15.61
7,100.0,15.05,15.5,68.79,5.07,15.5
8,90.0,15.07,15.54,76.62,5.8,15.54
9,100.0,15.08,15.57,75.59,5.72,15.57
10,90.0,15.19,15.61,64.04,4.73,15.61
