Query Number,Hit Percentage,File Access Time,Rand Num Gen Time,Other Time,Sampling Time,Bootstrap Time
1,100.0,1.72,2.75,55.59,5.06,2.75
2,100.0,1.74,2.88,51.92,4.49,2.88
3,90.0,1.75,2.66,52.0,4.55,2.66
4,100.0,1.84,2.75,65.18,5.95,2.75
5,100.0,1.73,2.62,69.25,6.45,2.62
6,90.0,1.72,2.53,61.14,5.55,2.53
7,80.0,1.69,2.4,56.2,5.07,2.4
8,90.0,1.66,2.4,64.08,5.7,2.4
9,90.0,1.76,2.44,61.9,5.59,2.44
10,100.0,1.63,2.51,51.2,4.67,2.51
